               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11873,            0.011722,            0.080656,           0.0030016,                0.17,           0.0031107,           0.0008112,             0.10884,           0.0089085,            0.073703,              0.0919,              0.0009,              0.0009
                   1,             0.10639,            0.013504,            0.076771,           0.0069553,                0.58,            0.021728,           0.0053655,            0.079387,           0.0097237,            0.064316,            0.082896,           0.0018962,           0.0018962
                   2,             0.09234,            0.015473,            0.069371,           0.0067351,                0.91,            0.052186,            0.012651,            0.066272,            0.010286,             0.05432,            0.073889,           0.0028885,           0.0028885
                   3,            0.081863,            0.015726,            0.062033,           0.0059217,                0.98,             0.12777,            0.048507,            0.063856,            0.010055,            0.049263,            0.064877,           0.0038768,           0.0038768
                   4,            0.068271,            0.016664,            0.051821,             0.17705,                0.41,             0.24471,            0.085601,            0.056335,           0.0098174,            0.035009,            0.055861,           0.0048612,           0.0048612
                   5,            0.069574,            0.017662,            0.043461,             0.12618,             0.43053,             0.17175,              0.0784,             0.06578,           0.0083348,             0.02691,            0.046842,           0.0058416,           0.0058416
                   6,            0.067789,            0.014323,            0.037383,             0.14596,                0.48,             0.26249,             0.10936,            0.056388,           0.0089808,            0.023023,            0.037818,            0.006818,            0.006818
                   7,            0.067369,             0.01414,            0.032737,             0.56432,                0.21,             0.21993,             0.10956,            0.063045,           0.0084226,            0.020137,            0.028791,           0.0077905,           0.0077905
                   8,            0.065766,            0.014012,            0.027185,             0.16828,             0.63323,             0.33892,             0.13415,            0.053528,           0.0091459,            0.016792,            0.019759,            0.008759,            0.008759
                   9,            0.062866,            0.014068,            0.026375,              0.2137,                 0.7,             0.25778,             0.12925,            0.055958,           0.0078413,            0.013851,            0.010724,           0.0097236,           0.0097236
                  10,            0.065248,            0.012396,            0.023651,              0.2303,                 0.6,             0.38895,             0.12742,            0.057205,           0.0074163,            0.013854,            0.009802,            0.009802,            0.009802
                  11,            0.061558,            0.012386,            0.018148,             0.38997,             0.60272,             0.30271,             0.11942,            0.055702,           0.0067385,            0.010747,            0.009802,            0.009802,            0.009802
                  12,            0.062496,             0.01292,            0.016922,             0.52403,                0.45,             0.44738,             0.15166,            0.051998,           0.0067212,           0.0095021,           0.0097822,           0.0097822,           0.0097822
                  13,            0.059467,            0.013116,             0.01551,             0.27453,                 0.6,             0.39658,             0.14029,            0.055784,           0.0063226,           0.0081411,           0.0097624,           0.0097624,           0.0097624
                  14,            0.059888,             0.01236,            0.014334,             0.24785,                0.66,             0.42075,             0.17784,            0.061344,            0.006205,           0.0076969,           0.0097426,           0.0097426,           0.0097426
                  15,            0.056559,            0.014057,            0.014143,             0.43129,             0.72687,             0.62891,               0.266,            0.046396,           0.0063355,           0.0069806,           0.0097228,           0.0097228,           0.0097228
                  16,            0.053137,            0.012131,            0.014229,             0.36945,             0.72272,             0.64183,             0.31608,            0.048524,           0.0062347,           0.0064142,            0.009703,            0.009703,            0.009703
                  17,            0.055155,            0.011033,            0.011497,             0.27163,                0.78,             0.56171,             0.24496,            0.048887,           0.0063151,           0.0059226,           0.0096832,           0.0096832,           0.0096832
                  18,            0.052928,            0.012667,             0.01043,             0.53988,             0.65511,             0.59196,             0.31686,            0.047407,           0.0060515,           0.0057892,           0.0096634,           0.0096634,           0.0096634
                  19,            0.050882,            0.012458,            0.011584,             0.31493,             0.86956,             0.62197,             0.31214,            0.050315,           0.0061731,           0.0057918,           0.0096436,           0.0096436,           0.0096436
                  20,            0.053445,            0.012148,            0.011234,             0.37223,                0.83,             0.67915,             0.42997,            0.042174,           0.0061646,           0.0056756,           0.0096238,           0.0096238,           0.0096238
                  21,            0.055573,            0.010646,            0.009441,             0.45108,                0.84,             0.70139,             0.43858,            0.040279,           0.0058071,           0.0053888,            0.009604,            0.009604,            0.009604
                  22,            0.052887,            0.010871,            0.011032,             0.50252,             0.85029,             0.77097,             0.50594,            0.037467,           0.0058906,           0.0051055,           0.0095842,           0.0095842,           0.0095842
                  23,            0.052272,            0.011671,           0.0099355,              0.7048,             0.65619,             0.74444,             0.39635,            0.045782,           0.0058044,           0.0047593,           0.0095644,           0.0095644,           0.0095644
                  24,            0.047982,            0.011866,           0.0082432,             0.66392,                0.73,             0.73873,             0.44364,             0.04174,           0.0059609,           0.0049098,           0.0095446,           0.0095446,           0.0095446
                  25,            0.048002,            0.010843,           0.0095061,             0.48001,             0.82426,             0.64692,             0.36345,            0.039589,           0.0058889,           0.0047683,           0.0095248,           0.0095248,           0.0095248
                  26,            0.043582,            0.011015,           0.0095294,             0.50515,                0.85,             0.71246,              0.4515,            0.039534,           0.0055726,           0.0047542,            0.009505,            0.009505,            0.009505
                  27,            0.045601,            0.011712,            0.008635,             0.54327,                0.82,             0.77953,              0.4476,            0.034864,           0.0056047,           0.0046272,           0.0094852,           0.0094852,           0.0094852
                  28,            0.045557,            0.010405,           0.0090869,             0.57488,                0.84,             0.76721,             0.47397,            0.032985,           0.0056948,           0.0048798,           0.0094654,           0.0094654,           0.0094654
                  29,            0.041558,            0.010586,            0.009808,             0.70741,             0.67937,             0.72652,             0.48657,            0.033361,           0.0055686,           0.0052284,           0.0094456,           0.0094456,           0.0094456
                  30,            0.039075,            0.010039,           0.0098147,             0.73348,                0.68,              0.7365,             0.45393,            0.034629,           0.0054808,           0.0050631,           0.0094258,           0.0094258,           0.0094258
                  31,             0.03928,            0.010537,           0.0079345,              0.4444,                0.88,             0.75689,             0.43459,            0.031827,           0.0054742,           0.0047384,            0.009406,            0.009406,            0.009406
                  32,             0.03939,            0.011215,            0.007955,             0.48079,                0.93,             0.74107,             0.48075,            0.026366,           0.0053653,           0.0049627,           0.0093862,           0.0093862,           0.0093862
                  33,            0.036976,           0.0098003,           0.0074488,             0.44771,             0.95187,             0.77197,             0.43129,            0.030772,            0.005024,           0.0048264,           0.0093664,           0.0093664,           0.0093664
                  34,            0.041686,           0.0099594,           0.0082917,              0.5072,                0.96,             0.79961,             0.45585,            0.029492,            0.004998,           0.0045789,           0.0093466,           0.0093466,           0.0093466
                  35,            0.041001,           0.0094687,           0.0070331,             0.42691,               0.878,             0.69184,             0.43879,            0.027536,           0.0050534,           0.0042253,           0.0093268,           0.0093268,           0.0093268
                  36,            0.036886,           0.0081011,           0.0059723,             0.52001,             0.93097,             0.75067,             0.46562,            0.027666,           0.0051015,           0.0041569,            0.009307,            0.009307,            0.009307
                  37,            0.038693,           0.0092774,           0.0068274,             0.57907,             0.95103,              0.7803,             0.51515,            0.029195,            0.005084,           0.0040806,           0.0092872,           0.0092872,           0.0092872
                  38,            0.037657,            0.010232,           0.0071666,             0.57217,                0.93,             0.77116,             0.54798,              0.0259,           0.0050319,           0.0040697,           0.0092674,           0.0092674,           0.0092674
                  39,            0.034417,           0.0092886,            0.008055,              0.5045,             0.86966,             0.76496,             0.46356,            0.030337,           0.0050166,           0.0039077,           0.0092476,           0.0092476,           0.0092476
                  40,            0.041386,            0.010149,           0.0062218,             0.63121,             0.91242,             0.81128,             0.52461,            0.029379,           0.0049655,            0.003919,           0.0092278,           0.0092278,           0.0092278
                  41,            0.037141,           0.0093031,           0.0063507,             0.55437,                0.96,             0.79662,             0.49649,            0.030224,           0.0049434,           0.0040719,            0.009208,            0.009208,            0.009208
                  42,            0.036542,           0.0093822,           0.0061783,             0.48615,             0.94675,             0.78702,             0.47428,            0.029285,            0.004879,            0.004187,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035485,           0.0093821,           0.0066196,             0.55342,              0.9433,             0.82964,             0.56855,            0.023697,           0.0047882,           0.0042465,           0.0091684,           0.0091684,           0.0091684
                  44,            0.035525,           0.0087611,           0.0070695,             0.75052,                0.76,             0.81992,             0.53351,            0.025601,           0.0047951,           0.0042233,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036531,            0.010536,           0.0061265,             0.53671,                0.96,             0.84172,             0.53771,            0.026382,           0.0045856,           0.0040463,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036667,            0.010382,           0.0065354,             0.48396,                0.96,             0.83952,             0.56679,            0.027365,           0.0047113,           0.0039929,            0.009109,            0.009109,            0.009109
                  47,            0.033904,           0.0088167,           0.0058852,             0.53571,                0.96,              0.8341,             0.51794,            0.027091,           0.0045586,           0.0041036,           0.0090892,           0.0090892,           0.0090892
